460, COMPSCI, 162, 1, W 12:30 PM - 1:45 PM, Jiehui Ma, MG0115
461, COMPSCI, 162, 2, W 2:00 PM - 3:15 PM, Jiehui Ma, HY0210
462, COMPSCI, 162, 3, Web Based, Tina Cao, ONLINE 
463, COMPSCI, 170, 1, M 9:30 AM - 10:45 AM, Jiehui Ma, MG0125
464, COMPSCI, 170, 2, Tu 3:30 PM - 4:45 PM, Jiehui Ma, MG0115
465, COMPSCI, 172, 1, MW 11:00 AM - 12:15 PM, To Be Arranged, MG0125
466, COMPSCI, 172, 2, TuTh 9:30 AM - 10:45 AM, To Be Arranged, MG0115
468, COMPSCI, 174, 2, TuTh 12:30 PM - 1:45 PM, Tina Cao, MG0115
467, COMPSCI, 174, 1, MW 3:30 PM - 4:45 PM, Tina Cao, MG0115
469, COMPSCI, 180, 1, M 11:00 AM - 12:15 PM, Jiehui Ma, MG0115
470, COMPSCI, 215, 1, Tu 3:30 PM - 4:45 PM, Lopamudra Mukherjee, HY0210
471, COMPSCI, 220, 1, TuTh 11:00 AM - 12:15 PM, To Be Arranged, HY0210
472, COMPSCI, 222, 1, TuTh 2:00 PM - 3:15 PM, To Be Arranged, HY0210
474, COMPSCI, 223, 2, W 11:00 AM - 12:15 PM, Arnab Ganguly, MG0115
473, COMPSCI, 223, 1, Tu 2:00 PM - 3:15 PM, Arnab Ganguly, MG0115
475, COMPSCI, 271, 1, M 2:00 PM - 3:30 PM, Athula Gunawardena, HY0210
476, COMPSCI, 271, 2, Tu 11:00 AM - 12:15 PM, Athula Gunawardena, MG0115
477, COMPSCI, 296, 1, TuTh 5:00 PM - 6:15 PM, Zachary Oster, MG0125
478, COMPSCI, 310, 1, Web Based, Robert Kuzoff, ONLINE 
479, COMPSCI, 320, 1, MW 9:30 AM - 10:45 AM, Zachary Oster, MG0115
480, COMPSCI, 332, 1, Tu 12:30 PM - 1:45 PM, Lopamudra Mukherjee, HY0210
481, COMPSCI, 353, 1, TuTh 11:00 AM - 12:15 PM, To Be Arranged, MG0125
482, COMPSCI, 381, 1, TuTh 9:30 AM - 10:45 AM, Tina Cao, HY0210
483, COMPSCI, 382, 1, MW 3:30 PM - 4:45 PM, To Be Arranged, MG0125
484, COMPSCI, 382, 2, TuTh 12:30 PM - 1:45 PM, To Be Arranged, MG0125
485, COMPSCI, 412, 1, MW 11:00 AM - 12:15 PM, Haijian Sun, HY0210
486, COMPSCI, 433, 1, MW 2:00 PM - 3:15 PM, Arnab Ganguly, MG0115
487, COMPSCI, 455, 1, TuTh 5:00 PM - 6:15 PM, To Be Arranged, HY0210
488, COMPSCI, 460, 1, MW 5:00 PM - 6:15 PM, To Be Arranged, HY0210
489, COMPSCI, 476, 1, MW 3:30 PM - 4:45 PM, Zachary Oster, HY0210
490, COMPSCI, 481, 1, TuTh 3:30 PM - 4:45 PM, Sobitha Samaranayake, MG0125
491, COMPSCI, 493, 1, Web Based, Zachary Oster, INDSTY
492, COMPSCI, 498, 1, Web Based, Zachary Oster, INDSTY
493, COMPSCI, 498R, 1, Web Based, To Be Arranged, INDSTY
1207, MATH, 124, 4, Tu 1:00 PM - 1:50 PM, To Be Arranged, HE0117
1206, MATH, 124, 3, W 12:00 PM - 12:50 PM, Teri Alder, WH1014
1205, MATH, 124, 2, W 11:00 AM - 11:50 AM, Teri Alder, WH1014
1204, MATH, 124, 1, Tu 11:00 AM - 11:50 AM, Teri Alder, SC3009
1234, MATH, 139, 23, TuTh 2:00 PM - 3:15 PM, Peter Lampe, MG0117
1233, MATH, 139, 22, TuTh 2:00 PM - 3:15 PM, John Reilly, HE0112
1232, MATH, 139, 21, MW 2:00 PM - 3:15 PM, Heather Conte, HE0112
1231, MATH, 139, 20, MW 2:00 PM - 3:15 PM, To Be Arranged, HE0102
1230, MATH, 139, 19, TuTh 12:30 PM - 1:45 PM, John Reilly, HE0112
1229, MATH, 139, 19, TuTh 12:30 PM - 1:45 PM, John Reilly, HE0112
1228, MATH, 139, 18, TuTh 12:30 PM - 1:45 PM, Josh Ruk, HE0102
1235, MATH, 139, 24, MW 3:30 PM - 4:45 PM, Josh Ruk, HE0102
1236, MATH, 139, 25, MW 3:30 PM - 4:45 PM, To Be Arranged, HE0112
1237, MATH, 139, 26, MW 3:30 PM - 4:45 PM, Teri Alder, HH1310
1238, MATH, 139, 26, MW 3:30 PM - 4:45 PM, Teri Alder, HH1310
1239, MATH, 139, 27, TuTh 3:30 PM - 4:45 PM, Peter Lampe, MG0117
1240, MATH, 139, 28, Web Based, Corey Bruns, ONLINE S
1241, MATH, 139, 29, Web Based, Corey Bruns, ONLINE S
1242, MATH, 139, 30, Web Based, Heather Conte, ONLINE S
1243, MATH, 139, 31, Web Based, Heather Conte, ONLINE S
1244, MATH, 139, 32, TuTh 2:00 PM - 3:15 PM, To Be Arranged, HE0102
1227, MATH, 139, 18, TuTh 12:30 PM - 1:45 PM, Josh Ruk, HE0102
1226, MATH, 139, 17, MW 12:30 PM - 1:45 PM, Pawel Felcyn, HE0112
1225, MATH, 139, 17, MW 12:30 PM - 1:45 PM, Pawel Felcyn, HE0112
1208, MATH, 139, 1, MW 8:00 AM - 9:15 AM, Morgan Gauvin, HE0102
1209, MATH, 139, 2, TuTh 8:00 AM - 9:15 AM, Huckleberry Rahr, HE0102
1210, MATH, 139, 3, MW 9:30 AM - 10:45 AM, Morgan Gauvin, HE0102
1211, MATH, 139, 4, MW 9:30 AM - 10:45 AM, To Be Arranged, HE0112
1212, MATH, 139, 5, MW 9:30 AM - 10:45 AM, Josh Ruk, MG0117
